StorviltID;KategoriSkutt;SkuttDato;SettOgSkuttUid;Merkelappnummer;Art;Slaktevekt;KontrollertVekt;Jaktfeltid
58017;11;28/09/2024 00:00:00;60551ECF-8AC4-4D8F-991E-760CA868F20A;100000058017;1;85,0;;5628J0016
58018;32;28/09/2024 00:00:00;BC0E3341-E2A0-438F-BA6B-980CF7D4128C;100000058018;1;205,0;;5628J0016
58019;22;28/09/2024 00:00:00;a00746b4-801e-4b6b-8fe8-f3570a4170e6;100000058019;1;;;5628J0017
58020;22;30/09/2024 00:00:00;ea81db77-7a93-4cd5-9de9-869b3566810c;;1;;;5628J0017
58026;22;02/10/2024 09:47:00;;;1;;;5628J0019
58028;11;27/09/2024 00:00:00;;;1;75,0;;5628J0020
58029;21;28/09/2024 00:00:00;;;1;122,0;;5628J0020
58030;31;29/09/2024 00:00:00;;;1;180,0;;5628J0020
58031;31;30/09/2024 00:00:00;;;1;213,0;;5628J0020
58032;12;27/09/2024 00:00:00;7743A789-5FBA-4F00-800D-31D3D45EC959;;1;49,0;47,0;5628J0021
58033;21;30/09/2024 14:16:00;A0B76E5E-0EB3-49E3-B642-2E22418875B8;;1;122,0;;5628J0021
